iter	Passed	Remaining
846	51073	9225
847	51147	9167
848	51220	9109
849	51287	9050
850	51350	8990
851	51412	8930
852	51472	8870
853	51530	8809
854	51597	8750
855	51664	8691
856	51784	8640
857	51848	8581
858	51914	8521
859	51972	8460
860	52031	8399
861	52099	8340
862	52166	8281
863	52245	8223
864	52313	8164
865	52374	8104
866	52427	8042
867	52481	7981
868	52558	7923
869	52625	7863
870	52689	7803
871	52763	7745
872	52870	7691
873	52939	7632
874	53012	7573
875	53087	7514
876	53156	7455
877	53228	7396
878	53293	7336
879	53359	7276
880	53423	7216
881	53488	7156
882	53553	7096
883	53619	7036
884	53687	6976
885	53755	6916
886	53876	6863
887	54002	6811
888	54072	6751
889	54142	6691
890	54225	6633
891	54295	6573
892	54365	6514
893	54437	6454
894	54509	6394
895	54576	6334
896	54650	6275
897	54716	6214
898	54778	6154
899	54849	6094
900	54908	6033
901	54981	5973
902	55104	5919
903	55176	5859
904	55243	5799
905	55309	5738
906	55374	5677
907	55425	5615
908	55484	5554
909	55536	5492
910	55602	5432
911	55667	5371
912	55722	5309
913	55772	5247
914	55832	5186
915	55887	5125
916	55943	5063
917	56001	5002
918	56069	4941
919	56184	4885
920	56254	4825
921	56319	4764
922	56371	4702
923	56437	4642
924	56498	4580
925	56561	4520
926	56641	4460
927	56706	4399
928	56768	4338
929	56829	4277
930	56886	4216
931	56936	4154
932	56984	4092
933	57045	4031
934	57102	3969
935	57213	3912
936	57261	3850
937	57327	3789
938	57392	3728
939	57461	3667
940	57526	3606
941	57592	3546
942	57666	3485
943	57734	3424
944	57803	3364
945	57870	3303
946	57934	3242
947	58002	3181
948	58069	3120
949	58141	3060
950	58211	2999
951	58340	2941
952	58409	2880
953	58471	2819
954	58535	2758
955	58595	2696
956	58656	2635
957	58716	2574
958	58778	2512
959	58848	2452
960	58912	2390
961	58977	2329
962	59044	2268
963	59109	2207
964	59168	2145
965	59220	2084
966	59286	2023
967	59416	1964
968	59483	1902
969	59544	1841
970	59602	1780
971	59670	1718
972	59731	1657
973	59787	1595
974	59850	1534
975	59910	1473
976	59970	1411
977	60029	1350
978	60089	1288
979	60151	1227
980	60213	1166
981	60271	1104
982	60334	1043
983	60407	982
984	60529	921
985	60592	860
986	60649	798
987	60710	737
988	60769	675
989	60823	614
990	60881	552
991	60938	491
992	60997	429
993	61060	368
994	61113	307
995	61187	245
996	61245	184
997	61304	122
998	61364	61
999	61424	0
